ISim log file
Running: C:\Users\Yoyo\Desktop\ALU\ALU\ALU_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/Yoyo/Desktop/ALU/ALU/ALU_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Sel=111, A=2, B=b, Y=09 (Bit-Wise XOR A and B)
Sel=000, A=2, B=c, Y=0e (Add A and B)
Sel=001, A=2, B=c, Y=04 (Multiply A by 2 (A + A))
Sel=010, A=2, B=c, Y=03 (Increment A by 1)
Sel=011, A=2, B=c, Y=04 (Increment A by 2)
Sel=100, A=2, B=c, Y=1d (Bit-Wise invert A)
Sel=101, A=2, B=c, Y=00 (Bit-Wise AND A and B)
Sel=110, A=2, B=c, Y=0e (Bit-Wise OR A and B)
Sel=111, A=2, B=c, Y=0e (Bit-Wise XOR A and B)
Sel=000, A=2, B=d, Y=0f (Add A and B)
Sel=001, A=2, B=d, Y=04 (Multiply A by 2 (A + A))
Sel=010, A=2, B=d, Y=03 (Increment A by 1)
Sel=011, A=2, B=d, Y=04 (Increment A by 2)
Sel=100, A=2, B=d, Y=1d (Bit-Wise invert A)
Sel=101, A=2, B=d, Y=00 (Bit-Wise AND A and B)
Sel=110, A=2, B=d, Y=0f (Bit-Wise OR A and B)
Sel=111, A=2, B=d, Y=0f (Bit-Wise XOR A and B)
Sel=000, A=2, B=e, Y=10 (Add A and B)
Sel=001, A=2, B=e, Y=04 (Multiply A by 2 (A + A))
Sel=010, A=2, B=e, Y=03 (Increment A by 1)
Sel=011, A=2, B=e, Y=04 (Increment A by 2)
Sel=100, A=2, B=e, Y=1d (Bit-Wise invert A)
Sel=101, A=2, B=e, Y=02 (Bit-Wise AND A and B)
